property_id,owner_id,name,address_query,current_lat,current_lng,geocode_status,geocode_error,suggested_lat,suggested_lng,location_type,partial_match,place_id,formatted_address,distance_km,review_reasons,,,manual_lat,manual_long
1b6bebe6-2e16-4d60-902c-94af8cb693a6,bruinplace-script-user,"Sherman Oaks, CA Houses for Rent","Sherman Oaks, CA, Los Angeles, CA 90024, USA",34.0689,-118.4452,OK,,34.1509272,-118.4486989,APPROXIMATE,TRUE,ChIJ87ycp9uXwoARFv9xgD9OmwM,"Sherman Oaks, Los Angeles, CA, USA",9.1267,location_type_APPROXIMATE;partial_match,,,,
3f58c2db-c650-4d55-8b37-af14ecb5f700,bruinplace-script-user,Beverly Hills Apartments For Rent,"Beverly Hills, CA 90210, Los Angeles, CA 90210, USA",34.0689,-118.4452,OK,,34.1030032,-118.4104684,APPROXIMATE,FALSE,ChIJ7xfS-zW8woARXNkAJzX5Hs8,"Beverly Hills, CA 90210, USA",4.9609,location_type_APPROXIMATE,,,,
a2006514-aed5-4965-8ae7-75d0148f26dc,bruinplace-script-user,"Beverly Hills, CA","Beverly Hills, CA 90210, Los Angeles, CA 90210, USA",34.0689,-118.4452,OK,,34.1030032,-118.4104684,APPROXIMATE,FALSE,ChIJ7xfS-zW8woARXNkAJzX5Hs8,"Beverly Hills, CA 90210, USA",4.9609,location_type_APPROXIMATE,,,,
c8507417-89e7-4725-a2b3-7eb071f3de72,bruinplace-script-user,Studio City,"Studio City, CA, Los Angeles, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,,
4c411e7a-99d0-460a-a877-cbae5b37ac8c,bruinplace-script-user,"Studio City, CA","Studio City, CA, Los Angeles, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,,
6b635ee1-de9d-405f-a739-a1d8d258db9c,bruinplace-script-user,11510 Ohio Ave,"11510 Ohio Ave, Los Angeles, CA 90025, USA",34.0689,-118.4452,OK,,34.046351,-118.4530714,RANGE_INTERPOLATED,FALSE,EioxMTUxMCBPaGlvIEF2ZSwgTG9zIEFuZ2VsZXMsIENBIDkwMDI1LCBVU0EiMRIvChQKEgmNrFphZbvCgBFDvKlPZJ96HxD2WSoUChIJpRPkZXq7woAReTvISq8K19A,"11510 Ohio Ave, Los Angeles, CA 90025, USA",2.6101,location_type_RANGE_INTERPOLATED,,,34.04747996,-118.4560004
3bdfc6ba-bd74-42f6-8097-ab8e3abfd9bd,bruinplace-script-user,11611 Chenault St,"11611 Chenault St Unit FL3-ID60, Los Angeles, CA 90049, USA",34.0689,-118.4452,OK,,34.0583981,-118.4660263,ROOFTOP,TRUE,EjExMTYxMSBDaGVuYXVsdCBTdCBmbDMsIExvcyBBbmdlbGVzLCBDQSA5MDA0OSwgVVNBIh8aHQoWChQKEgl_7PJ_obzCgBG-YkaEzOEI8xIDZmwz,"11611 Chenault St fl3, Los Angeles, CA 90049, USA",2.2459,partial_match,,,34.05834527,-118.4664668
74da9b46-cce1-4956-a129-23ddfd7235a0,bruinplace-script-user,11908 Dorothy St,"11908 Dorothy St Unit FL1-ID382, Los Angeles, CA 90049, United States",34.0689,-118.4452,OK,,34.050415,-118.468429,ROOFTOP,TRUE,EjAxMTkwOCBEb3JvdGh5IFN0IGZsMSwgTG9zIEFuZ2VsZXMsIENBIDkwMDQ5LCBVU0EiHxodChYKFAoSCZHCatVeu8KAEZEOOZ5aK4yIEgNmbDE,"11908 Dorothy St fl1, Los Angeles, CA 90049, USA",2.9671,partial_match,,,34.05052158,-118.4698452
973a5046-0bcf-446a-9239-85dd694bd36f,bruinplace-script-user,Landfair,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,,
dc812289-5d53-40f5-989f-806e279d9f7c,bruinplace-script-user,Hilgard 824,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.06593042,-118.4390842
c2c14203-75ef-487c-a542-fafb9d11a67a,bruinplace-script-user,Weyburn Terrace-Magnolia,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.06344531,-118.4505759
aaa5bca6-0d0c-4dba-8442-2b3ffe2dc27b,bruinplace-script-user,Levering Terrace,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.06329512,-118.4490163
85a182a4-7a59-4b47-b090-18f00bb7493a,bruinplace-script-user,650 Landfair Ave.,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.0664698,-118.4488608
2a206233-c5ce-474e-a648-d93b90028a79,bruinplace-script-user,555 Kelton,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.06616753,-118.455714
bf236e14-f75e-4c41-8a63-c4070db3ed23,bruinplace-script-user,The Mission,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.05543312,-118.4441648
